template,domain,source_family,progress,affect,cue_pole,cue_family,arm,model,repeat,request_id,blind_id
sampling_bias,logic_and_data,sampling_frame_bias,correct_partial,calm,calm,fixed,canonical,MiniMax-M2.7,1,cue_transfer_v4:sampling_bias:canonical:correct_partial:calm:repeat1:MiniMax-M2.7,2b974dde8b3b37bcf499
shortest_path,logic_and_data,weighted_graph_path,wrong_attempt,calm,calm,fixed,canonical,deepseek-v4-pro,1,cue_transfer_v4:shortest_path:canonical:wrong_attempt:calm:repeat1:deepseek-v4-pro,4d988850e03ecd4ff55b
photosynthesis_inputs,science,photosynthesis_inputs,correct_partial,frustrated,frustrated,fixed,canonical,glm-5.3,1,cue_transfer_v4:photosynthesis_inputs:canonical:correct_partial:frustrated:repeat1:glm-5.3,675694ba83b8d99909f4
question_quotation,language,direct_speech_punctuation,wrong_attempt,calm,calm,0,explicit,deepseek-v4-pro,1,cue_transfer_v4:question_quotation:explicit:wrong_attempt:calm:repeat1:deepseek-v4-pro,3c0b952becd2f48fb46a
median_order,mathematics,median,wrong_attempt,calm,calm,2,implicit,doubao-seed-2.0-lite,0,cue_transfer_v4:median_order:implicit:wrong_attempt:calm:repeat0:doubao-seed-2.0-lite,cdb25bd31f0bc5c040de
exclusive_or,logic_and_data,exclusive_or,wrong_attempt,frustrated,frustrated,fixed,canonical,MiniMax-M3,1,cue_transfer_v4:exclusive_or:canonical:wrong_attempt:frustrated:repeat1:MiniMax-M3,975d9772ed419c50520a
triangle_area,mathematics,triangle_area,wrong_attempt,calm,calm,2,implicit,doubao-seed-2.0-lite,0,cue_transfer_v4:triangle_area:implicit:wrong_attempt:calm:repeat0:doubao-seed-2.0-lite,66d6655d617ebfc8b423
median_order,mathematics,median,wrong_attempt,frustrated,frustrated,1,explicit,MiniMax-M2.7,1,cue_transfer_v4:median_order:explicit:wrong_attempt:frustrated:repeat1:MiniMax-M2.7,a5dada3154c44054b570
common_multiple,mathematics,least_common_multiple,correct_partial,frustrated,frustrated,2,explicit,glm-5.3,0,cue_transfer_v4:common_multiple:explicit:correct_partial:frustrated:repeat0:glm-5.3,80f9a68a89fcb85bc29d
binary_place_value,logic_and_data,binary_place_value,wrong_attempt,frustrated,frustrated,fixed,canonical,MiniMax-M2.7,0,cue_transfer_v4:binary_place_value:canonical:wrong_attempt:frustrated:repeat0:MiniMax-M2.7,fcce88d8798a25e56a83
plural_possession,language,apostrophe_possession,wrong_attempt,calm,calm,2,explicit,MiniMax-M2.7,1,cue_transfer_v4:plural_possession:explicit:wrong_attempt:calm:repeat1:MiniMax-M2.7,8c26dd6e1c192320f096
passive_voice,language,active_passive_voice,correct_partial,calm,calm,3,implicit,MiniMax-M3,0,cue_transfer_v4:passive_voice:implicit:correct_partial:calm:repeat0:MiniMax-M3,3219c6b0865b2965df9c
homophone_choice,language,homophone_selection,correct_partial,calm,calm,fixed,canonical,doubao-seed-2.0-lite,1,cue_transfer_v4:homophone_choice:canonical:correct_partial:calm:repeat1:doubao-seed-2.0-lite,0840952600cbffc182e0
relative_clause,language,relative_clause_attachment,wrong_attempt,calm,calm,fixed,peer_control,deepseek-v4-pro,0,cue_transfer_v4:relative_clause:peer_control:wrong_attempt:calm:repeat0:deepseek-v4-pro,ea2b1e79668330fc731f
contrast_connective,language,contrast_connective,wrong_attempt,calm,calm,0,explicit,glm-5.3,0,cue_transfer_v4:contrast_connective:explicit:wrong_attempt:calm:repeat0:glm-5.3,0e15ed858570e2010c3f
balance_water_equation,science,chemical_equation_balance,correct_partial,calm,calm,3,explicit,MiniMax-M2.7,1,cue_transfer_v4:balance_water_equation:explicit:correct_partial:calm:repeat1:MiniMax-M2.7,bed9d5aea3ca1f8abcaa
algorithm_trace,logic_and_data,loop_accumulation,wrong_attempt,frustrated,frustrated,1,explicit,MiniMax-M2.7,1,cue_transfer_v4:algorithm_trace:explicit:wrong_attempt:frustrated:repeat1:MiniMax-M2.7,e918dcd3123456cf91fb
photosynthesis_inputs,science,photosynthesis_inputs,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,0,cue_transfer_v4:photosynthesis_inputs:peer_control:correct_partial:frustrated:repeat0:glm-5.3,8a07de08b2abf32c6f65
binary_place_value,logic_and_data,binary_place_value,wrong_attempt,frustrated,frustrated,3,implicit,doubao-seed-2.0-lite,0,cue_transfer_v4:binary_place_value:implicit:wrong_attempt:frustrated:repeat0:doubao-seed-2.0-lite,36ec03691daf4a8352c6
passive_voice,language,active_passive_voice,correct_partial,calm,calm,fixed,canonical,deepseek-v4-pro,1,cue_transfer_v4:passive_voice:canonical:correct_partial:calm:repeat1:deepseek-v4-pro,c6509fd6c004ef93d91c
prism_volume,mathematics,rectangular_prism_volume,correct_partial,frustrated,frustrated,2,explicit,MiniMax-M2.7,0,cue_transfer_v4:prism_volume:explicit:correct_partial:frustrated:repeat0:MiniMax-M2.7,65c6ace399a8c7c2bafe
triangle_area,mathematics,triangle_area,wrong_attempt,calm,calm,fixed,peer_control,MiniMax-M3,0,cue_transfer_v4:triangle_area:peer_control:wrong_attempt:calm:repeat0:MiniMax-M3,f00daaff32f8ff4838f3
gas_volume,science,boyles_law,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,1,cue_transfer_v4:gas_volume:peer_control:correct_partial:frustrated:repeat1:glm-5.3,665b16a9d29800131d6e
shortest_path,logic_and_data,weighted_graph_path,correct_partial,calm,calm,0,explicit,MiniMax-M2.7,1,cue_transfer_v4:shortest_path:explicit:correct_partial:calm:repeat1:MiniMax-M2.7,a0955dd371955666e6fd
pigeonhole_guarantee,logic_and_data,pigeonhole_principle,wrong_attempt,frustrated,frustrated,2,explicit,doubao-seed-2.0-lite,0,cue_transfer_v4:pigeonhole_guarantee:explicit:wrong_attempt:frustrated:repeat0:doubao-seed-2.0-lite,1a55a5e37c71f5147708
binary_search_update,logic_and_data,binary_search_interval,correct_partial,frustrated,frustrated,1,explicit,glm-5.3,0,cue_transfer_v4:binary_search_update:explicit:correct_partial:frustrated:repeat0:glm-5.3,52ee5e2917cd6ba8b81b
median_order,mathematics,median,wrong_attempt,frustrated,frustrated,2,implicit,glm-5.3,0,cue_transfer_v4:median_order:implicit:wrong_attempt:frustrated:repeat0:glm-5.3,d7c99e7cec6068e096b5
shortest_path,logic_and_data,weighted_graph_path,correct_partial,calm,frustrated,fixed,peer_control,doubao-seed-2.0-lite,1,cue_transfer_v4:shortest_path:peer_control:correct_partial:frustrated:repeat1:doubao-seed-2.0-lite,778c23c5dbb40c4d2a3d
homophone_choice,language,homophone_selection,wrong_attempt,frustrated,frustrated,fixed,canonical,doubao-seed-2.0-lite,1,cue_transfer_v4:homophone_choice:canonical:wrong_attempt:frustrated:repeat1:doubao-seed-2.0-lite,027602d536ef43db3e12
plural_possession,language,apostrophe_possession,correct_partial,calm,calm,3,implicit,MiniMax-M2.7,1,cue_transfer_v4:plural_possession:implicit:correct_partial:calm:repeat1:MiniMax-M2.7,2807b586fb564b90acda
median_order,mathematics,median,wrong_attempt,frustrated,frustrated,2,implicit,doubao-seed-2.0-lite,0,cue_transfer_v4:median_order:implicit:wrong_attempt:frustrated:repeat0:doubao-seed-2.0-lite,0a10eda3652f474ce492
trophic_transfer,science,trophic_energy_transfer,correct_partial,frustrated,frustrated,3,explicit,MiniMax-M2.7,0,cue_transfer_v4:trophic_transfer:explicit:correct_partial:frustrated:repeat0:MiniMax-M2.7,e3e08823c39cffd0edb0
contrast_connective,language,contrast_connective,wrong_attempt,calm,calm,1,implicit,MiniMax-M3,1,cue_transfer_v4:contrast_connective:implicit:wrong_attempt:calm:repeat1:MiniMax-M3,9bdb4c2793de5129c44a
metaphor_identification,language,figurative_metaphor,correct_partial,frustrated,frustrated,2,implicit,MiniMax-M3,0,cue_transfer_v4:metaphor_identification:implicit:correct_partial:frustrated:repeat0:MiniMax-M3,a46685d6b710b88c1ba1
radioactive_half_life,science,half_life,correct_partial,calm,calm,3,implicit,deepseek-v4-pro,0,cue_transfer_v4:radioactive_half_life:implicit:correct_partial:calm:repeat0:deepseek-v4-pro,ed46852296e70c43273f
question_quotation,language,direct_speech_punctuation,correct_partial,calm,calm,fixed,canonical,MiniMax-M2.7,0,cue_transfer_v4:question_quotation:canonical:correct_partial:calm:repeat0:MiniMax-M2.7,31c1fefa873944fa39dc
homophone_choice,language,homophone_selection,correct_partial,calm,calm,fixed,canonical,MiniMax-M3,1,cue_transfer_v4:homophone_choice:canonical:correct_partial:calm:repeat1:MiniMax-M3,f3a711e18c5d97d679d5
exclusive_or,logic_and_data,exclusive_or,correct_partial,calm,calm,0,implicit,MiniMax-M3,0,cue_transfer_v4:exclusive_or:implicit:correct_partial:calm:repeat0:MiniMax-M3,4b9ed73f877dc08fa01d
binary_search_update,logic_and_data,binary_search_interval,correct_partial,calm,calm,2,implicit,MiniMax-M3,0,cue_transfer_v4:binary_search_update:implicit:correct_partial:calm:repeat0:MiniMax-M3,ccfc2cfdfcc528ba5629
shortest_path,logic_and_data,weighted_graph_path,wrong_attempt,frustrated,frustrated,1,implicit,deepseek-v4-pro,1,cue_transfer_v4:shortest_path:implicit:wrong_attempt:frustrated:repeat1:deepseek-v4-pro,65c271962e66436050a8
homophone_choice,language,homophone_selection,wrong_attempt,frustrated,frustrated,3,explicit,MiniMax-M3,1,cue_transfer_v4:homophone_choice:explicit:wrong_attempt:frustrated:repeat1:MiniMax-M3,743dde57f0b7e0cbd3a9
photosynthesis_inputs,science,photosynthesis_inputs,wrong_attempt,frustrated,frustrated,1,implicit,deepseek-v4-pro,0,cue_transfer_v4:photosynthesis_inputs:implicit:wrong_attempt:frustrated:repeat0:deepseek-v4-pro,f48636450b5c83b3a0ef
contact_pressure,science,pressure,correct_partial,calm,calm,0,explicit,MiniMax-M3,1,cue_transfer_v4:contact_pressure:explicit:correct_partial:calm:repeat1:MiniMax-M3,bbf948e48624deff3be7
contrast_connective,language,contrast_connective,correct_partial,calm,frustrated,fixed,peer_control,deepseek-v4-pro,1,cue_transfer_v4:contrast_connective:peer_control:correct_partial:frustrated:repeat1:deepseek-v4-pro,4dbd29b62d4ed2c18ec9
question_quotation,language,direct_speech_punctuation,correct_partial,calm,calm,fixed,canonical,glm-5.3,0,cue_transfer_v4:question_quotation:canonical:correct_partial:calm:repeat0:glm-5.3,82a68190faf41200a508
prism_volume,mathematics,rectangular_prism_volume,correct_partial,frustrated,frustrated,3,implicit,deepseek-v4-pro,0,cue_transfer_v4:prism_volume:implicit:correct_partial:frustrated:repeat0:deepseek-v4-pro,3f6dc3506e951b7e5930
sampling_bias,logic_and_data,sampling_frame_bias,wrong_attempt,calm,frustrated,fixed,peer_control,glm-5.3,1,cue_transfer_v4:sampling_bias:peer_control:wrong_attempt:frustrated:repeat1:glm-5.3,e3a7da8007f143c39631
sampling_bias,logic_and_data,sampling_frame_bias,wrong_attempt,calm,calm,1,implicit,doubao-seed-2.0-lite,0,cue_transfer_v4:sampling_bias:implicit:wrong_attempt:calm:repeat0:doubao-seed-2.0-lite,6692118c768a94b44547
balance_water_equation,science,chemical_equation_balance,correct_partial,calm,frustrated,fixed,peer_control,doubao-seed-2.0-lite,0,cue_transfer_v4:balance_water_equation:peer_control:correct_partial:frustrated:repeat0:doubao-seed-2.0-lite,45be041eeda3408b405f
relative_clause,language,relative_clause_attachment,correct_partial,frustrated,frustrated,3,explicit,deepseek-v4-pro,1,cue_transfer_v4:relative_clause:explicit:correct_partial:frustrated:repeat1:deepseek-v4-pro,6216d48b90b04c8d17da
exponent_product,mathematics,exponent_product,correct_partial,frustrated,frustrated,1,implicit,glm-5.3,0,cue_transfer_v4:exponent_product:implicit:correct_partial:frustrated:repeat0:glm-5.3,fb29a1879b475dd0d13c
question_quotation,language,direct_speech_punctuation,wrong_attempt,calm,calm,0,explicit,MiniMax-M2.7,1,cue_transfer_v4:question_quotation:explicit:wrong_attempt:calm:repeat1:MiniMax-M2.7,3387ed655a4e4d9a9046
signed_temperature,mathematics,signed_integer_addition,correct_partial,calm,calm,fixed,canonical,glm-5.3,0,cue_transfer_v4:signed_temperature:canonical:correct_partial:calm:repeat0:glm-5.3,6ec47053a43e0489e408
right_triangle,mathematics,pythagorean_length,correct_partial,calm,calm,0,implicit,MiniMax-M2.7,1,cue_transfer_v4:right_triangle:implicit:correct_partial:calm:repeat1:MiniMax-M2.7,8b9ac5695dead4673e3a
prism_volume,mathematics,rectangular_prism_volume,correct_partial,calm,calm,fixed,peer_control,deepseek-v4-pro,0,cue_transfer_v4:prism_volume:peer_control:correct_partial:calm:repeat0:deepseek-v4-pro,9ba80650c7c59015132f
relative_clause,language,relative_clause_attachment,wrong_attempt,frustrated,frustrated,3,explicit,glm-5.3,0,cue_transfer_v4:relative_clause:explicit:wrong_attempt:frustrated:repeat0:glm-5.3,1d022ce1f61d2c19b739
sampling_bias,logic_and_data,sampling_frame_bias,wrong_attempt,calm,calm,fixed,canonical,glm-5.3,1,cue_transfer_v4:sampling_bias:canonical:wrong_attempt:calm:repeat1:glm-5.3,d94a786838cd2c4dc8b4
binary_place_value,logic_and_data,binary_place_value,wrong_attempt,calm,calm,fixed,canonical,glm-5.3,0,cue_transfer_v4:binary_place_value:canonical:wrong_attempt:calm:repeat0:glm-5.3,5e02aa002c8cb51078b0
trophic_transfer,science,trophic_energy_transfer,wrong_attempt,calm,calm,3,explicit,MiniMax-M3,1,cue_transfer_v4:trophic_transfer:explicit:wrong_attempt:calm:repeat1:MiniMax-M3,e274afce7c55722a551e
signed_temperature,mathematics,signed_integer_addition,wrong_attempt,frustrated,frustrated,3,explicit,glm-5.3,0,cue_transfer_v4:signed_temperature:explicit:wrong_attempt:frustrated:repeat0:glm-5.3,9b1726a823afa2809eec
binary_search_update,logic_and_data,binary_search_interval,wrong_attempt,calm,calm,1,explicit,glm-5.3,1,cue_transfer_v4:binary_search_update:explicit:wrong_attempt:calm:repeat1:glm-5.3,0fcfe7162caf3221f92e
distinct_arrangements,mathematics,factorial_counting,wrong_attempt,frustrated,frustrated,0,explicit,deepseek-v4-pro,0,cue_transfer_v4:distinct_arrangements:explicit:wrong_attempt:frustrated:repeat0:deepseek-v4-pro,e1ad7700a44376cbe2c9
turning_moment,science,turning_moment,wrong_attempt,calm,calm,2,explicit,MiniMax-M2.7,0,cue_transfer_v4:turning_moment:explicit:wrong_attempt:calm:repeat0:MiniMax-M2.7,b329c295b0c81c506b3d
common_multiple,mathematics,least_common_multiple,wrong_attempt,calm,calm,fixed,canonical,doubao-seed-2.0-lite,0,cue_transfer_v4:common_multiple:canonical:wrong_attempt:calm:repeat0:doubao-seed-2.0-lite,0a327f6d650ca5a473eb
pigeonhole_guarantee,logic_and_data,pigeonhole_principle,wrong_attempt,calm,frustrated,fixed,peer_control,glm-5.3,1,cue_transfer_v4:pigeonhole_guarantee:peer_control:wrong_attempt:frustrated:repeat1:glm-5.3,73e0cfe5f5f1c70aa989
pigeonhole_guarantee,logic_and_data,pigeonhole_principle,correct_partial,calm,frustrated,fixed,peer_control,MiniMax-M2.7,0,cue_transfer_v4:pigeonhole_guarantee:peer_control:correct_partial:frustrated:repeat0:MiniMax-M2.7,fcac3a8495b4449fd707
radioactive_half_life,science,half_life,wrong_attempt,frustrated,frustrated,3,implicit,MiniMax-M2.7,0,cue_transfer_v4:radioactive_half_life:implicit:wrong_attempt:frustrated:repeat0:MiniMax-M2.7,45fce46ec3edf2bee80a
contrast_connective,language,contrast_connective,correct_partial,calm,calm,fixed,canonical,MiniMax-M2.7,1,cue_transfer_v4:contrast_connective:canonical:correct_partial:calm:repeat1:MiniMax-M2.7,c1d737c127875ba05386
pigeonhole_guarantee,logic_and_data,pigeonhole_principle,correct_partial,calm,calm,2,explicit,MiniMax-M3,0,cue_transfer_v4:pigeonhole_guarantee:explicit:correct_partial:calm:repeat0:MiniMax-M3,b1bdae01a6393adfd4ea
trophic_transfer,science,trophic_energy_transfer,wrong_attempt,frustrated,frustrated,3,explicit,glm-5.3,0,cue_transfer_v4:trophic_transfer:explicit:wrong_attempt:frustrated:repeat0:glm-5.3,bcbcddddde3ccdeb6381
common_multiple,mathematics,least_common_multiple,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,1,cue_transfer_v4:common_multiple:peer_control:correct_partial:frustrated:repeat1:glm-5.3,a88e6281a2b33c53191a
binary_place_value,logic_and_data,binary_place_value,wrong_attempt,frustrated,frustrated,2,explicit,MiniMax-M2.7,0,cue_transfer_v4:binary_place_value:explicit:wrong_attempt:frustrated:repeat0:MiniMax-M2.7,72f8fd9f02e3429416d5
shortest_path,logic_and_data,weighted_graph_path,correct_partial,calm,calm,1,implicit,doubao-seed-2.0-lite,0,cue_transfer_v4:shortest_path:implicit:correct_partial:calm:repeat0:doubao-seed-2.0-lite,6f39581324397f0d5d15
exclusive_or,logic_and_data,exclusive_or,wrong_attempt,calm,calm,0,implicit,deepseek-v4-pro,1,cue_transfer_v4:exclusive_or:implicit:wrong_attempt:calm:repeat1:deepseek-v4-pro,a36bcd48bfec09b159d2
signed_temperature,mathematics,signed_integer_addition,wrong_attempt,frustrated,frustrated,3,explicit,deepseek-v4-pro,0,cue_transfer_v4:signed_temperature:explicit:wrong_attempt:frustrated:repeat0:deepseek-v4-pro,29b90ff967807f74f622
balance_water_equation,science,chemical_equation_balance,correct_partial,frustrated,frustrated,3,explicit,doubao-seed-2.0-lite,0,cue_transfer_v4:balance_water_equation:explicit:correct_partial:frustrated:repeat0:doubao-seed-2.0-lite,52518608e016820f6bf9
trophic_transfer,science,trophic_energy_transfer,wrong_attempt,calm,calm,3,explicit,deepseek-v4-pro,1,cue_transfer_v4:trophic_transfer:explicit:wrong_attempt:calm:repeat1:deepseek-v4-pro,9a3b63fc671e4893ad15
contrast_connective,language,contrast_connective,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,0,cue_transfer_v4:contrast_connective:peer_control:correct_partial:frustrated:repeat0:glm-5.3,983d9b51bc90986836f6
kinetic_energy,science,kinetic_energy,wrong_attempt,frustrated,frustrated,2,implicit,glm-5.3,1,cue_transfer_v4:kinetic_energy:implicit:wrong_attempt:frustrated:repeat1:glm-5.3,9164b64b0add8a29cd94
binary_search_update,logic_and_data,binary_search_interval,correct_partial,calm,frustrated,fixed,peer_control,deepseek-v4-pro,0,cue_transfer_v4:binary_search_update:peer_control:correct_partial:frustrated:repeat0:deepseek-v4-pro,31f8bf5bdc9d0276bd01
relative_clause,language,relative_clause_attachment,wrong_attempt,frustrated,frustrated,3,explicit,MiniMax-M3,1,cue_transfer_v4:relative_clause:explicit:wrong_attempt:frustrated:repeat1:MiniMax-M3,a2f1c20d70a0d0804605
contact_pressure,science,pressure,correct_partial,calm,calm,fixed,canonical,MiniMax-M2.7,0,cue_transfer_v4:contact_pressure:canonical:correct_partial:calm:repeat0:MiniMax-M2.7,0aab25ff42693e2e0cb2
homophone_choice,language,homophone_selection,wrong_attempt,calm,calm,3,explicit,MiniMax-M2.7,0,cue_transfer_v4:homophone_choice:explicit:wrong_attempt:calm:repeat0:MiniMax-M2.7,1e165d8ad6457f60d36f
distinct_arrangements,mathematics,factorial_counting,correct_partial,frustrated,frustrated,fixed,canonical,MiniMax-M2.7,1,cue_transfer_v4:distinct_arrangements:canonical:correct_partial:frustrated:repeat1:MiniMax-M2.7,7e6b61e9b315c4328821
signed_temperature,mathematics,signed_integer_addition,correct_partial,frustrated,frustrated,3,explicit,MiniMax-M3,0,cue_transfer_v4:signed_temperature:explicit:correct_partial:frustrated:repeat0:MiniMax-M3,e60713efcdae4360eb88
homophone_choice,language,homophone_selection,wrong_attempt,calm,calm,3,explicit,glm-5.3,1,cue_transfer_v4:homophone_choice:explicit:wrong_attempt:calm:repeat1:glm-5.3,b0f8d9e4353e88e55616
relative_clause,language,relative_clause_attachment,wrong_attempt,calm,calm,0,implicit,MiniMax-M2.7,1,cue_transfer_v4:relative_clause:implicit:wrong_attempt:calm:repeat1:MiniMax-M2.7,4a873d0ddb8db0096485
contact_pressure,science,pressure,wrong_attempt,calm,calm,fixed,peer_control,glm-5.3,0,cue_transfer_v4:contact_pressure:peer_control:wrong_attempt:calm:repeat0:glm-5.3,12c81e05b4ec4eca8bcd
contact_pressure,science,pressure,correct_partial,frustrated,frustrated,fixed,canonical,doubao-seed-2.0-lite,0,cue_transfer_v4:contact_pressure:canonical:correct_partial:frustrated:repeat0:doubao-seed-2.0-lite,47e98edc29960955a96b
triangle_area,mathematics,triangle_area,correct_partial,calm,calm,fixed,peer_control,MiniMax-M3,1,cue_transfer_v4:triangle_area:peer_control:correct_partial:calm:repeat1:MiniMax-M3,6e64582b38d7ae2fbab0
contact_pressure,science,pressure,wrong_attempt,calm,calm,0,explicit,MiniMax-M2.7,0,cue_transfer_v4:contact_pressure:explicit:wrong_attempt:calm:repeat0:MiniMax-M2.7,f714570fc9dfc5482fc1
exclusive_or,logic_and_data,exclusive_or,correct_partial,calm,calm,0,implicit,doubao-seed-2.0-lite,1,cue_transfer_v4:exclusive_or:implicit:correct_partial:calm:repeat1:doubao-seed-2.0-lite,c7ea0b075fbe350e2b6d
metaphor_identification,language,figurative_metaphor,wrong_attempt,frustrated,frustrated,2,implicit,deepseek-v4-pro,0,cue_transfer_v4:metaphor_identification:implicit:wrong_attempt:frustrated:repeat0:deepseek-v4-pro,ab10c25b84d9ac8cff72
plural_possession,language,apostrophe_possession,wrong_attempt,calm,calm,2,explicit,glm-5.3,1,cue_transfer_v4:plural_possession:explicit:wrong_attempt:calm:repeat1:glm-5.3,b9dec4c2bd0f4e788ac9
photosynthesis_inputs,science,photosynthesis_inputs,correct_partial,calm,calm,fixed,canonical,glm-5.3,1,cue_transfer_v4:photosynthesis_inputs:canonical:correct_partial:calm:repeat1:glm-5.3,63188f29c1ad20df5d14
signed_temperature,mathematics,signed_integer_addition,correct_partial,calm,calm,3,explicit,MiniMax-M2.7,1,cue_transfer_v4:signed_temperature:explicit:correct_partial:calm:repeat1:MiniMax-M2.7,01ba26797f949b0cb395
kinetic_energy,science,kinetic_energy,correct_partial,calm,calm,1,explicit,MiniMax-M3,0,cue_transfer_v4:kinetic_energy:explicit:correct_partial:calm:repeat0:MiniMax-M3,0ff5b2f0cc8f00e39c32
shortest_path,logic_and_data,weighted_graph_path,wrong_attempt,calm,calm,fixed,canonical,doubao-seed-2.0-lite,1,cue_transfer_v4:shortest_path:canonical:wrong_attempt:calm:repeat1:doubao-seed-2.0-lite,f381525705ecff80d618
distinct_allocation,logic_and_data,all_different_constraint,correct_partial,calm,calm,fixed,peer_control,deepseek-v4-pro,0,cue_transfer_v4:distinct_allocation:peer_control:correct_partial:calm:repeat0:deepseek-v4-pro,16d2dde544300cee8e97
gas_volume,science,boyles_law,correct_partial,frustrated,frustrated,fixed,canonical,doubao-seed-2.0-lite,1,cue_transfer_v4:gas_volume:canonical:correct_partial:frustrated:repeat1:doubao-seed-2.0-lite,8c5a2f2cc42eef8dd75d
binary_search_update,logic_and_data,binary_search_interval,correct_partial,frustrated,frustrated,2,implicit,glm-5.3,0,cue_transfer_v4:binary_search_update:implicit:correct_partial:frustrated:repeat0:glm-5.3,f4452d4bcda90be66f39
prism_volume,mathematics,rectangular_prism_volume,wrong_attempt,calm,calm,2,explicit,deepseek-v4-pro,0,cue_transfer_v4:prism_volume:explicit:wrong_attempt:calm:repeat0:deepseek-v4-pro,d2afb7c2764beda3d4e8
photosynthesis_inputs,science,photosynthesis_inputs,wrong_attempt,calm,calm,fixed,peer_control,glm-5.3,1,cue_transfer_v4:photosynthesis_inputs:peer_control:wrong_attempt:calm:repeat1:glm-5.3,2ae3636769c7ca8fc8a9
trophic_transfer,science,trophic_energy_transfer,correct_partial,calm,calm,3,explicit,deepseek-v4-pro,1,cue_transfer_v4:trophic_transfer:explicit:correct_partial:calm:repeat1:deepseek-v4-pro,0b317361114f6f8dc583
shortest_path,logic_and_data,weighted_graph_path,correct_partial,calm,calm,fixed,peer_control,MiniMax-M3,1,cue_transfer_v4:shortest_path:peer_control:correct_partial:calm:repeat1:MiniMax-M3,975464fb282cfe4465f0
distinct_allocation,logic_and_data,all_different_constraint,wrong_attempt,calm,calm,fixed,canonical,deepseek-v4-pro,1,cue_transfer_v4:distinct_allocation:canonical:wrong_attempt:calm:repeat1:deepseek-v4-pro,bcfd224b054b94c530b4
prism_volume,mathematics,rectangular_prism_volume,wrong_attempt,frustrated,frustrated,3,implicit,deepseek-v4-pro,1,cue_transfer_v4:prism_volume:implicit:wrong_attempt:frustrated:repeat1:deepseek-v4-pro,21b06d963a204f8fc3ce
question_quotation,language,direct_speech_punctuation,wrong_attempt,frustrated,frustrated,1,implicit,MiniMax-M2.7,0,cue_transfer_v4:question_quotation:implicit:wrong_attempt:frustrated:repeat0:MiniMax-M2.7,7ef2a9a53c3b0585a835
radioactive_half_life,science,half_life,correct_partial,calm,calm,fixed,canonical,glm-5.3,0,cue_transfer_v4:radioactive_half_life:canonical:correct_partial:calm:repeat0:glm-5.3,26ed01ab1291130981d2
prism_volume,mathematics,rectangular_prism_volume,wrong_attempt,calm,calm,fixed,peer_control,deepseek-v4-pro,1,cue_transfer_v4:prism_volume:peer_control:wrong_attempt:calm:repeat1:deepseek-v4-pro,ce96215631e69e7f363c
right_triangle,mathematics,pythagorean_length,correct_partial,frustrated,frustrated,3,explicit,glm-5.3,0,cue_transfer_v4:right_triangle:explicit:correct_partial:frustrated:repeat0:glm-5.3,ff0615ee4ef24d8b3ef0
algorithm_trace,logic_and_data,loop_accumulation,correct_partial,frustrated,frustrated,fixed,canonical,glm-5.3,0,cue_transfer_v4:algorithm_trace:canonical:correct_partial:frustrated:repeat0:glm-5.3,a891d990d56db2e1d4bd
triangle_area,mathematics,triangle_area,wrong_attempt,calm,calm,1,explicit,deepseek-v4-pro,0,cue_transfer_v4:triangle_area:explicit:wrong_attempt:calm:repeat0:deepseek-v4-pro,0f92cf4d81e08a5f0fbf
relative_clause,language,relative_clause_attachment,wrong_attempt,calm,calm,3,explicit,MiniMax-M2.7,0,cue_transfer_v4:relative_clause:explicit:wrong_attempt:calm:repeat0:MiniMax-M2.7,003d766f87d83ee37f06
metaphor_identification,language,figurative_metaphor,wrong_attempt,frustrated,frustrated,1,explicit,doubao-seed-2.0-lite,1,cue_transfer_v4:metaphor_identification:explicit:wrong_attempt:frustrated:repeat1:doubao-seed-2.0-lite,3365a5a08d1512678420
prism_volume,mathematics,rectangular_prism_volume,correct_partial,frustrated,frustrated,fixed,canonical,MiniMax-M3,1,cue_transfer_v4:prism_volume:canonical:correct_partial:frustrated:repeat1:MiniMax-M3,cd7d5a29c8cdcd684cd7
question_quotation,language,direct_speech_punctuation,correct_partial,calm,calm,fixed,canonical,deepseek-v4-pro,1,cue_transfer_v4:question_quotation:canonical:correct_partial:calm:repeat1:deepseek-v4-pro,88ba9c1a17734e7e1b29
exclusive_or,logic_and_data,exclusive_or,wrong_attempt,calm,calm,fixed,peer_control,deepseek-v4-pro,1,cue_transfer_v4:exclusive_or:peer_control:wrong_attempt:calm:repeat1:deepseek-v4-pro,0d942406847aa2d69a7c
common_multiple,mathematics,least_common_multiple,wrong_attempt,frustrated,frustrated,2,explicit,MiniMax-M3,0,cue_transfer_v4:common_multiple:explicit:wrong_attempt:frustrated:repeat0:MiniMax-M3,1501468e86cba0f965a5
gas_volume,science,boyles_law,correct_partial,calm,calm,2,implicit,MiniMax-M3,0,cue_transfer_v4:gas_volume:implicit:correct_partial:calm:repeat0:MiniMax-M3,bd6747e7110522b6b989
radioactive_half_life,science,half_life,correct_partial,frustrated,frustrated,fixed,canonical,MiniMax-M2.7,1,cue_transfer_v4:radioactive_half_life:canonical:correct_partial:frustrated:repeat1:MiniMax-M2.7,a1143968a1f026beb032
