request_id,judge_requested,judge_returned,valid,error
5ed0b92674b9c4dc0ae4:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
8efd5cd3ea1c2d6b0059:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
d88fae672ad14bd46cbc:glm-5.2,glm-5.2,,False,missing_response
cb2fd096898a69c81e72:glm-5.2,glm-5.2,,False,missing_response
02b9a480c64163fa9bcf:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
a57f3e700321f6075726:glm-5.2,glm-5.2,,False,missing_response
15600eb4d05de50949a5:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
956cdca2c5c55d7a0a45:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
80a47e6c5d7231e2751b:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
e70d78e4b91971438c74:glm-5.2,glm-5.2,,False,missing_response
07b147af9ee3e40c35f4:glm-5.2,glm-5.2,,False,missing_response
bbd4f65980994079e41a:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
52eef16d6a654ea51571:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
7766143ed2b2f724bf45:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: answer_reveal
71fc550d202d11884918:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
3c650b339867eebbd7ff:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
bf1b2727e4aaff632915:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
fdf2146565e8f20d9b47:glm-5.2,glm-5.2,,False,missing_response
a13446d4d7c7f00843d7:glm-5.2,glm-5.2,,False,missing_response
c02c8b15d60601787343:glm-5.2,glm-5.2,,False,missing_response
b511da945dccae8deb68:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
bab594a9a88e35c85159:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
c9c385feb42fe3c24a0f:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: affect_acknowledgement
ceb76023e02779aaaebb:glm-5.2,glm-5.2,,False,missing_response
b00941e99620b639ddbb:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
aada043522087ca17462:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
d5e5c310ef2bbf353fb4:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
fa3a15141f6ccec1bbd4:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
ba3ed78b338e9a13fa17:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
dcfe63aa0331e4775ff3:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
d20f03487a8dba323632:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
4d32c7535150f80f34b5:glm-5.2,glm-5.2,,False,missing_response
a28b45359ce905ff2907:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
b52890c67ad0a03aee42:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
122bf31ca16ea698450c:glm-5.2,glm-5.2,,False,missing_response
cbb96650f2c667a0099f:glm-5.2,glm-5.2,,False,missing_response
54dc8e523fd1dc34a1bf:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
ef4d84d7f09f98e7ea02:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
ef4d84d7f09f98e7ea02:glm-5.2,glm-5.2,,False,missing_response
37a41187fe8703f43f63:glm-5.2,glm-5.2,,False,missing_response
c02c8b15d60601787343:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
a335b4e6eb8637555cf9:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
8caea81ae1fa2587c425:glm-5.2,glm-5.2,,False,missing_response
43e3b4dd4d0253ef5042:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
e70d78e4b91971438c74:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
e3080d3143d16ba96b8d:glm-5.2,glm-5.2,,False,missing_response
eb0e1d3270b6b85ea0ed:glm-5.2,glm-5.2,,False,missing_response
216b846d8089a6a00f90:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
f16f2db2acabffb8bcc4:glm-5.2,glm-5.2,,False,missing_response
e1fbb38b46691f32b309:glm-5.2,glm-5.2,,False,missing_response
33557f69dc0498a4f855:glm-5.2,glm-5.2,,False,missing_response
2f3ca1b90a5983b4ea10:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
2253628d77aba30e6daf:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
4918ca2110b5676eb25b:glm-5.2,glm-5.2,,False,missing_response
2cfaff627a6db474883f:glm-5.2,glm-5.2,,False,missing_response
a57f3e700321f6075726:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
43e3b4dd4d0253ef5042:glm-5.2,glm-5.2,,False,missing_response
b52890c67ad0a03aee42:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
ea22778e3216b98837b0:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
eb0e1d3270b6b85ea0ed:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
2253628d77aba30e6daf:glm-5.2,glm-5.2,,False,missing_response
122bf31ca16ea698450c:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
904a4a0bc2870525d537:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
eac9abfefb74f69676bd:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
fb5c24ccf9b9f5345ac0:glm-5.2,glm-5.2,,False,missing_response
1f861c2d51283e59dcaa:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: answer_reveal
269bb34fe216b418592b:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
b82e05d798ed9d62d46f:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
a3b22895078aeeb9c481:glm-5.2,glm-5.2,,False,missing_response
3aba688cd99bccc84e28:glm-5.2,glm-5.2,,False,missing_response
4918ca2110b5676eb25b:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
25cb7b626f8264469349:glm-5.2,glm-5.2,,False,missing_response
b52890c67ad0a03aee42:glm-5.2,glm-5.2,,False,missing_response
1e1bbce52a853d183ce7:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
956cdca2c5c55d7a0a45:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
3a03a3bf5edf63de0b41:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
89153531a4a1b33c3b34:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
09ee3c79cec447d7cf01:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
41abaf653d02c2d43587:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
6bccfcfc31d66662754b:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: affect_acknowledgement
0010b5a166668babdfc2:glm-5.2,glm-5.2,,False,missing_response
6bccfcfc31d66662754b:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
e741484691388821e7a1:glm-5.2,glm-5.2,,False,missing_response
52eef16d6a654ea51571:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
1e1bbce52a853d183ce7:glm-5.2,glm-5.2,,False,missing_response
6bccfcfc31d66662754b:glm-5.2,glm-5.2,,False,missing_response
02b9a480c64163fa9bcf:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
b82e05d798ed9d62d46f:glm-5.2,glm-5.2,,False,missing_response
09ee3c79cec447d7cf01:glm-5.2,glm-5.2,,False,missing_response
f8892b6ce9c17bfe4903:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
9b38451e3f725056f428:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
fb5c24ccf9b9f5345ac0:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
f2997c14e3c817a0bd4b:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
9027d323285b11851755:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
a0f21ba54b32aef55de9:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
670b9bfae749d15ddf4a:glm-5.2,glm-5.2,,False,missing_response
6b967cdfbda0a7700cf3:glm-5.2,glm-5.2,,False,missing_response
c9c385feb42fe3c24a0f:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
fdf2146565e8f20d9b47:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
a28b45359ce905ff2907:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
d5e5c310ef2bbf353fb4:glm-5.2,glm-5.2,,False,missing_response
c059643c8d1af68e5367:glm-5.2,glm-5.2,,False,missing_response
3aba688cd99bccc84e28:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
3b96bd4e791a39f2196e:glm-5.2,glm-5.2,,False,missing_response
5edf0ae67f09b3a6c257:glm-5.2,glm-5.2,,False,missing_response
90c41659e5bc46d31dc3:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
0010b5a166668babdfc2:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: answer_reveal
d20f03487a8dba323632:glm-5.2,glm-5.2,,False,missing_response
a3cd2bff7780acd7ef74:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
0142f9f4b822ffbd8c37:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
8d56c805baeb0943efac:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
904a4a0bc2870525d537:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
acc1e0deceec8a18076e:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
670b9bfae749d15ddf4a:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
ea469f3109ee0224af2d:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
d8b091158b8145387f55:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
f16f2db2acabffb8bcc4:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
cb2fd096898a69c81e72:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
2dd614f61c7e8b71ee56:glm-5.2,glm-5.2,,False,missing_response
e1fbb38b46691f32b309:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
122bf31ca16ea698450c:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
f8892b6ce9c17bfe4903:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
8fb01410b4257208ee79:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
eac9abfefb74f69676bd:glm-5.2,glm-5.2,,False,missing_response
bf1b2727e4aaff632915:glm-5.2,glm-5.2,,False,missing_response
8d56c805baeb0943efac:glm-5.2,glm-5.2,,False,missing_response
e1fbb38b46691f32b309:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
e673dacf6616de7e5fb3:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: answer_reveal
2b24c41786a09c5cea47:glm-5.2,glm-5.2,,False,missing_response
f5b40a54ac559bee52c2:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
e40f8ff81d570ca2390a:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
d20f03487a8dba323632:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
a57f3e700321f6075726:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
eb0e1d3270b6b85ea0ed:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
5db3274137a245350137:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
9b38451e3f725056f428:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
0af631542fc1eae3c4a6:glm-5.2,glm-5.2,,False,missing_response
2b24c41786a09c5cea47:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: affect_acknowledgement
ba39d0fdc40f9b2ab6b4:glm-5.2,glm-5.2,,False,missing_response
8be4a2fe48d21a92768e:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
3a56c500a46c715f68ca:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
90c41659e5bc46d31dc3:glm-5.2,glm-5.2,,False,missing_response
4d32c7535150f80f34b5:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
1b2a52778d56eacdf3c0:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
cbb96650f2c667a0099f:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
a9b3b1c563e0996bec30:glm-5.2,glm-5.2,,False,missing_response
37a41187fe8703f43f63:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
e741484691388821e7a1:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: answer_reveal
847834d66b1c19d75c4a:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
340ffcee3d9af24c5cb2:glm-5.2,glm-5.2,,False,missing_response
09ee3c79cec447d7cf01:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
bab594a9a88e35c85159:glm-5.2,glm-5.2,,False,missing_response
e70d78e4b91971438c74:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
8fb01410b4257208ee79:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
80e89e351d401ddac677:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
8a8d9288be211adc801e:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
f5b40a54ac559bee52c2:glm-5.2,glm-5.2,,False,missing_response
45a0c066f4c769f45668:glm-5.2,glm-5.2,,False,missing_response
4918ca2110b5676eb25b:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
fa3a15141f6ccec1bbd4:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: answer_reveal
2dd614f61c7e8b71ee56:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
e741484691388821e7a1:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
62c1cf1ab9b223b87f11:glm-5.2,glm-5.2,,False,missing_response
ca991fb2ace20052ab18:glm-5.2,glm-5.2,,False,missing_response
216b846d8089a6a00f90:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
a28b45359ce905ff2907:glm-5.2,glm-5.2,,False,missing_response
fc38c588ab5e0ec71131:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
340ffcee3d9af24c5cb2:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
f7081f4656021d7ff9e8:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
957a84204cfcdf2fb8ad:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
45a0c066f4c769f45668:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
d8b091158b8145387f55:glm-5.2,glm-5.2,,False,missing_response
1b2a52778d56eacdf3c0:glm-5.2,glm-5.2,,False,missing_response
c6dd1411cb6a597ce52d:deepseek-v4-pro,deepseek-v4-pro,,False,missing_response
c6dd1411cb6a597ce52d:glm-5.2,glm-5.2,,False,missing_response
6f57b456cbe8dac3d2be:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
d6140f7c8d1585300972:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
3a03a3bf5edf63de0b41:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
54dc8e523fd1dc34a1bf:glm-5.2,glm-5.2,,False,missing_response
7d1c6c28017d7ac3b845:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
3887e355cac64864874b:glm-5.2,glm-5.2,,False,missing_response
59268659c3b2e8b6664e:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
330f04660e19950af8bf:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
21bac1cc58db3be4664f:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
f7081f4656021d7ff9e8:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
